x	y	width	height	center.x	 center.y
626	407	227	102	739	458
623	405	236	106	741	458
623	406	232	104	739	458
624	407	227	102	737	458
623	407	227	102	736	458
616	408	226	102	729	459
591	408	227	102	704	459
588	407	227	101	701	457
662	407	222	100	773	457
662	409	222	100	773	459
648	410	214	95	755	457
638	410	215	96	745	458
617	411	218	97	726	459
618	411	218	97	727	459
618	411	218	97	727	459
618	409	217	97	726	457
619	409	218	97	728	457
618	409	218	97	727	457
618	409	218	97	727	457
619	409	218	97	728	457
620	408	217	97	728	456
622	408	214	96	729	456
620	408	218	97	729	456
619	408	214	95	726	455
620	408	214	96	727	456
621	408	215	95	728	455
622	408	214	95	729	455
622	407	214	96	729	455
619	408	217	97	727	456
619	408	217	97	727	456
619	408	214	95	726	455
621	408	214	95	728	455
621	407	214	95	728	454
621	407	214	95	728	454
621	408	214	95	728	455
616	406	218	97	725	454
618	404	217	97	726	452
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	404	222	100	726	454
615	402	222	100	726	452
615	402	222	100	726	452
615	402	222	100	726	452
615	402	222	100	726	452
616	403	218	97	725	451
616	403	218	97	725	451
616	402	218	97	725	450
615	400	222	100	726	450
615	401	222	100	726	451
615	401	222	100	726	451
615	400	222	100	726	450
615	401	222	100	726	451
615	401	222	100	726	451
615	401	222	100	726	451
615	400	222	100	726	450
615	400	222	100	726	450
615	400	222	100	726	450
615	400	222	100	726	450
615	400	222	100	726	450
615	400	222	100	726	450
616	401	218	97	725	449
616	400	218	97	725	448
616	400	218	97	725	448
616	400	218	97	725	448
616	400	218	97	725	448
616	398	218	97	725	446
616	399	218	97	725	447
616	399	218	97	725	447
616	398	218	97	725	446
616	398	218	97	725	446
617	398	214	96	724	446
617	398	217	97	725	446
614	396	222	100	725	446
614	396	222	100	725	446
617	398	217	97	725	446
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
617	396	217	97	725	444
616	395	217	97	724	443
616	394	217	97	724	442
616	394	217	97	724	442
616	392	217	97	724	440
616	392	217	97	724	440
616	392	217	97	724	440
616	392	217	97	724	440
616	392	217	97	724	440
616	392	217	97	724	440
616	391	217	97	724	439
616	391	217	97	724	439
616	391	217	97	724	439
616	391	217	97	724	439
614	391	218	97	723	439
614	391	218	97	723	439
615	391	217	97	723	439
617	391	214	96	724	439
617	390	217	97	725	438
615	389	218	97	724	437
617	389	217	97	725	437
617	389	217	97	725	437
616	389	217	97	724	437
614	387	218	97	723	435
614	388	218	97	723	436
614	387	218	97	723	
